Rumor,Truth,Source_Link
所有 PCOS 患者卵巢上都有囊肿,虽然名字叫「多囊卵巢」，但并非所有患者在超声中能看到典型“囊肿,https://www.endocrine.org/patient-engagement/endocrine-library/pdf-library/fact-or-fiction-pcos-myths-debunked?utm_source=chatgpt.com
PCOS 只有超重／肥胖的人才会得,虽然肥胖是常见伴随因素，但正常体重甚至偏瘦也可能有 PCOS,https://www.urmc.rochester.edu/news/publications/health-matters/pcos-so-common-and-commonly-misunderstood?utm_source=chatgpt.com
得了 PCOS 就不能怀孕,虽然 PCOS 可能影响排卵及怀孕难度，但多数患者在合适治疗下仍可怀孕。,https://www.thip.media/news/5-myths-about-pcos-debunked/98658/?utm_source=chatgpt.com
PCOS 是由不良生活方式（比如吃太多糖／缺乏运动）引起的,虽然生活方式会影响症状严重度，但 PCOS 本身是内分泌＋代谢＋遗传综合征，不只是懒／吃多。,https://www.inspirahealthnetwork.org/news/healthy-living/pcos-myths-and-facts-debunking-common-misconceptions?utm_source=chatgpt.com
只要减肥／控制体重，PCOS 就能被治好,虽然减轻体重／改善胰岛素敏感性对症状有帮助，但不能完全保证“治愈”。,https://patient.info/news-and-features/8-common-myths-about-pcos-polycystic-ovary-syndrome?utm_source=chatgpt.com
胰岛素抵抗只出现在超重体重的 PCOS 患者中,正常体重的 PCOS 患者也可能存在胰岛素抵抗。,https://www.urmc.rochester.edu/news/publications/health-matters/pcos-so-common-and-commonly-misunderstood?utm_source=chatgpt.com
PCOS 是中心在卵巢的问题，仅限于卵巢,PCOS 是一个内分泌－代谢紊乱，影响不只是卵巢，还包括激素、胰岛素、心血管代谢等。。,https://www.urmc.rochester.edu/news/publications/health-matters/pcos-so-common-and-commonly-misunderstood?utm_source=chatgpt.com
所有有多囊卵巢（超声看到多卵泡）的人都有 PCOS,多囊卵巢（Polycystic- ovaries）可在无症状者中存在，而 PCOS 诊断需结合症状、激素、排卵情况。,https://www.sydney.edu.au/news-opinion/news/2020/02/27/4-myths-about-pcos-and-why-they-are-wrong.html?utm_source=chatgpt.com
PCOS 只是一种生殖疾病，与代谢／心血管无关,PCOS 与胰岛素抵抗、2型糖尿病、脂代谢异常、心血管风险增加有关。,https://www.livestrong.com/article/13778620-myths-about-pcos/?utm_source=chatgpt.com
你必须等一年才可以看专科/治疗怀孕，如果有 PCOS,对于 PCOS 患者，如果有明显排卵障碍，应及早评估而不是机械等待。。,https://www.livestrong.com/article/13778620-myths-about-pcos/?utm_source=chatgpt.com
瘦／正常体重的女性就不会有 PCOS,瘦体型或正常体重的人也可诊断 PCOS，只是常被误诊或忽略。,https://www.verywellhealth.com/unique-challenges-of-lean-women-with-pcos-4155138?utm_source=chatgpt.com
减肥对 PCOS 没有任何作用,虽然减肥并非“根治”，但研究显示即 5-10% 体重减轻即可改善多个 PCOS 症状。,https://patient.info/news-and-features/8-common-myths-about-pcos-polycystic-ovary-syndrome?utm_source=chatgpt.com
PCOS 是罕见病，很少有人得,PCOS 是常见疾病，大约影响育龄女性的 6-10%（或更多），但常被误诊／延误。,https://patient.info/news-and-features/8-common-myths-about-pcos-polycystic-ovary-syndrome?utm_source=chatgpt.com
青春期后很快就一定能确诊 PCOS,PCOS 可在青春期以后、甚至生育期中后期被发现；不是只限早20s。,https://www.ndtv.com/lifestyle/an-expert-on-myths-and-facts-of-pcos-and-differences-with-pcod-2577270?utm_source=chatgpt.com
只要你有月经不规律，就一定是 PCOS,月经不规律可能有多种原因，并非自动＝PCOS。诊断需多项指标。,https://www.sydney.edu.au/news-opinion/news/2020/02/27/4-myths-about-pcos-and-why-they-are-wrong.html?utm_source=chatgpt.com
口服避孕药是 PCOS 的唯一治疗方式,避孕药常用于调节月经／雄激素，但治疗应个体化，还包括生活方式、胰岛素调节、促排卵等。,https://www.inspirahealthnetwork.org/news/healthy-living/pcos-myths-and-facts-debunking-common-misconceptions?utm_source=chatgpt.com
PCOS 患者减重比普通人难很多，几乎不可能,虽然有胰岛素抵抗等难点，但研究显示 PCOS 患者在系统干预后减重可实现。,https://www.sydney.edu.au/news-opinion/news/2020/02/27/4-myths-about-pcos-and-why-they-are-wrong.html?utm_source=chatgpt.com
补充 D-chiro-inositol 可以彻底改写 PCOS 病情,虽然有研究探讨 D-chiro-inositol 在 PCOS 中作用，但其效果并非“万能”或“治愈”，且仍处于研究阶段。,https://pubmed.ncbi.nlm.nih.gov/35057707/?utm_source=chatgpt.com
PCOS 症状都是皮肤／月经问题，不必担心其它健康风险,虽然皮肤问题如痤疮、体毛、月经不规律是常见，但 PCOS 患者也更易出现代谢综合征、糖尿病、心血管风险。,https://pelvicawarenessproject.org/pcos-myths-debunking-common-pcos-misconceptions/?utm_source=chatgpt.com
